"filename", "language", "Markdown", "JavaScript", "XML", "HTML", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\pl.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\pt-br.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\pt.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\ro.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\ru.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\si.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\sk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\sl.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\sq.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\sr-latn.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\sr.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\sv.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\th.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\tk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\tr.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\tt.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\ug.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\uk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\uz.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\vi.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\zh-cn.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\zh.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\ckeditor5\package.json", "JSON", 0, 0, 0, 0, 0, 41, 0, 0, 41
"c:\Users\1\Desktop\LMS-UI\ckeditor5\sample\index.html", "HTML", 0, 0, 0, 118, 0, 0, 3, 9, 130
"c:\Users\1\Desktop\LMS-UI\ckeditor5\sample\styles.css", "CSS", 0, 0, 0, 0, 397, 0, 28, 76, 501
"c:\Users\1\Desktop\LMS-UI\ckeditor5\src\ckeditor.js", "JavaScript", 0, 90, 0, 0, 0, 0, 6, 5, 101
"c:\Users\1\Desktop\LMS-UI\ckeditor5\webpack.config.js", "JavaScript", 0, 77, 0, 0, 0, 0, 9, 11, 97
"c:\Users\1\Desktop\LMS-UI\package-lock.json", "JSON", 0, 0, 0, 0, 0, 43817, 0, 1, 43818
"c:\Users\1\Desktop\LMS-UI\package.json", "JSON", 0, 0, 0, 0, 0, 83, 0, 0, 83
"c:\Users\1\Desktop\LMS-UI\public\images\BLOCKCHAINSIGNUP.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\abc.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\certif.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\certificate-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\cours.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\darsad-placeholder.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\done-quiz-icons.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\dore-haye-darhale-yad-giri.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\dore-haye-gozarande-shode.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\dore-haye-mojood.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\edit-image.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\edit-profile.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\exit.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\haghe-tadris.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\keshoyeee-sabz.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\keshoyeee.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\logoaqua.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\my-certificates.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\paid-recipts.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\public\images\academy\profile.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
